Status,Prefix,random fuel code,Carbon intensity,EDRMS#,Fake Company,Fake contact name,Fake contact email,Application date,Approval date,Effective date,Expiry date,Fuel,Feedstock,Feedstock location,Misc,Fuel production facility city,Fuel production facility province/state,Fuel production facility country,Facility nameplate capacity random,Unit,Feedstock transport mode,Finished fuel transport mode,Former company,Notes
Approved,BCLCF,681.1,33.74,D28291142,Allen-Franco,James Moran,llang@example.org,2025-10-21 00:00:00,2025-12-03 00:00:00,2025-10-27 00:00:00,2036-04-28 00:00:00,Alternative jet fuel,Tallow,Oceania,,Dallas,Texas,USA,2077742416,Litres,"Marine, Marine-domestic, Truck",Marine,,
Approved,BCLCF,510.1,28.11,D28291157,Alvarado-Murphy,Roger Smith,stephaniecampbell@example.org,2024-05-15 00:00:00,2024-09-09 00:00:00,2024-05-15 00:00:00,2037-04-16 00:00:00,Renewable naphtha,Corn,US Central,Corn Oil,St. Paul,Minnesota,United States of America,416272275,,Rail,Rail,,
Approved,BCLCF,423.2,52.43,D28291518,"Alvarez, Bennett and Wilkins",Tiffany Miller,christopherallen@example.net,2014-03-25 00:00:00,2014-04-14 00:00:00,2014-03-26 00:00:00,2039-11-02 00:00:00,Ethanol,Corn,US Central,,Minneapolis,Minnesota,United States of America,299059385,,"Marine-international, Rail",Rail,,
Approved,C-BCLCF,138.5,20.72,D28291052,"Alvarez, Suarez and Martin",Vanessa Fuentes,jacob35@example.org,2023-11-27 00:00:00,2024-05-21 00:00:00,2024-01-01 00:00:00,2036-01-29 00:00:00,Ethanol,Corn,Manitoba,CCS,Regina,Saskatchewan,Canada,162360,Litres,"Marine-international, Rail",Marine-international,,
Approved,BCLCF,154.1,5.04,D28291299,Anderson Group,Scott Lopez,njones@example.net,2022-03-15 00:00:00,2022-07-14 00:00:00,2022-03-15 00:00:00,2038-10-28 00:00:00,Biodiesel,Soy,US Central,,St. Louis,Missouri,United States of America,129051035,,Marine-international,Rail,,
Approved,BCLCF,648.1,37.46,D28291388,Anderson LLC,Rebekah Thompson,kimberly14@example.net,2018-05-02 00:00:00,2018-10-12 00:00:00,2018-05-02 00:00:00,2039-08-20 00:00:00,Biodiesel,Canola,US Central,,Des Moines,Iowa,United States of America,105417129,,"Marine-international, Rail",Rail,,
Approved,C-BCLCF,302.1,10.05,D28291360,"Anderson, Galloway and Simpson",Cheryl Duran,allen40@example.org,2024-07-25 00:00:00,2024-08-01 00:00:00,2024-07-25 00:00:00,2037-06-07 00:00:00,HDRD,Yellow Grease (UCO),Ontario,,Kelowna,British Columbia,Canada,159059671,,Marine-international,Marine-international,,
Approved,C-BCLCF,151.4,31.79,D28291400,"Anderson, Sanders and Greer",Kathleen Gonzalez,ramirezamber@example.org,2019-12-17 00:00:00,2020-01-21 00:00:00,2019-12-17 00:00:00,2039-04-12 00:00:00,Ethanol,Wheat,Saskatchewan,,Saskatoon,Saskatchewan,Canada,14341314,,Marine-international,"Marine-international, Rail",,
Approved,C-BCLCF,324.2,56.01,D28291379,"Anderson, Werner and Price",Eric Johnston,kcarpenter@example.org,2020-03-26 00:00:00,2020-04-29 00:00:00,2019-01-01 00:00:00,2039-03-15 00:00:00,Ethanol,Corn,US Central,,Winnipeg,Manitoba,Canada,155607,,Rail,Marine-international,,
Approved,C-BCLCF,802.1,9.2,D28291257,Anderson-Bauer,Margaret Casey,devinbass@example.net,2023-05-18 00:00:00,2023-06-14 00:00:00,2023-05-15 00:00:00,2038-06-23 00:00:00,Renewable naphtha,Palm Sludge Oil,Indonesia,,Vancouver,British Columbia,Canada,172176603,,"Marine, Rail",Marine-international,,
Approved,C-BCLCF,520.1,-15.74,D28291368,Anderson-Johnson,Brianna Evans,sheppardbethany@example.net,2015-05-26 00:00:00,2015-08-17 00:00:00,2015-05-26 00:00:00,2039-06-02 00:00:00,Biodiesel,Tallow,Ontario,,Toronto,Ontario,Canada,62667963,,Marine-international,Rail,,
Approved,C-BCLCF,643.1,16.68,D28291373,Anderson-Robinson,Sherri Andrews,leslie93@example.net,2024-07-25 00:00:00,2024-08-01 00:00:00,2024-07-25 00:00:00,2037-06-29 00:00:00,HDRD,Canola,Alberta,,Prince George,British Columbia,Canada,157843218,,Rail,Marine-international,,
Approved,BCLCF,531.1,26.11,D28291225,Andrews LLC,Lisa Branch,dan75@example.com,2023-06-12 00:00:00,2024-02-12 00:00:00,2023-06-12 00:00:00,2038-02-19 00:00:00,Renewable naphtha,Canola,Canada West,Canola Oil,St. Paul,Minnesota,United States of America,641418590,,Rail,Rail,,
Approved,C-BCLCF,839.1,32.59,D28291030,Anthony-Burch,Thomas Carr,leslierobinson@example.org,2025-10-27 00:00:00,2025-12-22 00:00:00,2025-10-27 00:00:00,2036-01-07 00:00:00,Ethanol,Corn,Ontario,38.4 % Carbon Capture,Ottawa,Ontario,Canada,227049892,Litres,Truck,Rail,,
Approved,C-BCLCF,554.1,9.31,D28291284,Armstrong LLC,David Palmer,chapmancharles@example.com,2024-05-24 00:00:00,2025-01-08 00:00:00,2024-05-24 00:00:00,2036-11-20 00:00:00,HDRD,Tallow,Ontario,Co-Processing in FCC,Victoria,British Columbia,Canada,36805068,,Rail,Marine-international,,
Approved,BCLCF,284.2,28.27,D28291432,Armstrong-Rasmussen,Dana Alvarado,ruizjennifer@example.org,2024-03-18 00:00:00,2024-05-30 00:00:00,2024-07-01 00:00:00,2037-10-05 00:00:00,HDRD,Corn,US Central,Corn Oil,Baton Rouge,Louisiana,United States of America,299537358,,"Marine, Marine-international, Rail","Marine, Rail",,
Approved,BCLCF,394.2,6.55,D28291270,Arnold Ltd,Sandra Parker,asilva@example.org,2023-01-03 00:00:00,2024-01-25 00:00:00,2022-12-31 00:00:00,2038-03-19 00:00:00,Biodiesel,Soy,US Central,Soy Oil,Cedar Rapids,Iowa,United States of America,377096445,,Rail,"Marine-international, Rail",,
Approved,C-BCLCF,256.3,63.68,D28291285,"Arnold, Bennett and Smith",Shelby Barron,christian66@example.com,2022-03-23 00:00:00,2022-09-06 00:00:00,2022-01-01 00:00:00,2038-10-20 00:00:00,LNG,Fossil-based Natural Gas,British Columbia,Tilbury facility,Kelowna,British Columbia,Canada,13121173,,Pipeline,Pipeline,,
Approved,BCLCF,179.1,19.31,D28291205,"Arnold, Cochran and Nixon",Natalie Cline,nguyencrystal@example.net,2024-03-18 00:00:00,2024-05-30 00:00:00,2024-07-01 00:00:00,2037-10-12 00:00:00,Renewable naphtha,Yellow Grease (UCO),US Central,,New Orleans,Louisiana,United States of America,304367003,,"Marine, Marine-international, Rail","Marine, Rail",,
Approved,BCLCF,286.3,24.64,D28291218,Austin-Hernandez,James Bennett,riverazachary@example.net,2025-03-25 00:00:00,2025-06-06 00:00:00,2025-04-10 00:00:00,2036-07-13 00:00:00,HDRD,Tallow,US Central,,New Orleans,Louisiana,USA,1114211649,Litres,"Marine, Rail, Truck",Rail,,
Approved,BCLCF,410.3,34.85,D28291524,Austin-Melton,Billy Jones,matthewcarr@example.net,2016-09-07 00:00:00,2016-09-14 00:00:00,2016-09-07 00:00:00,2040-02-09 00:00:00,HDRD,Corn Oil,US Central,,Jurong,NaN,Singapore,942095922,,"Marine, Rail",Marine,,
Approved,C-BCLCF,671.1,53.34,D28291471,Austin-Williams,Walter Carter,justin91@example.net,2017-11-09 00:00:00,2018-04-16 00:00:00,2018-01-01 00:00:00,2039-09-04 00:00:00,Ethanol,Wheat,Manitoba,,Winnipeg,Manitoba,Canada,124093366,,Marine-international,Marine-international,,
Approved,BCLCF,101.1,28.81,D28291455,Avila-Nelson,Karla Collins,peter24@example.com,2022-12-29 00:00:00,2024-01-25 00:00:00,2022-12-29 00:00:00,2038-04-19 00:00:00,HDRD,Tallow,International,,New Orleans,Louisiana,United States of America,1651122181,,Marine,Marine,,
Approved,C-BCLCF,173.2,3.89,D28291265,"Ayers, Alexander and Rich",Frank Barber,darlene96@example.com,2023-09-13 00:00:00,2024-11-06 00:00:00,2024-07-01 00:00:00,2036-08-29 00:00:00,Alternative jet fuel,Tallow,Alberta,FCC > DHT,Vancouver,British Columbia,Canada,225280680,Litres,"Marine, Rail",Pipeline,,
Approved,BCLCF,196.4,27.42,D28291312,Bailey and Sons,Eric Smith,maryprince@example.org,2021-03-19 00:00:00,2021-10-18 00:00:00,2021-03-19 00:00:00,2038-12-24 00:00:00,Biodiesel,Soy,US Central,,Bismarck,North Dakota,United States of America,169612986,,"Marine-international, Rail",Rail,,
Approved,C-BCLCF,268.2,6.81,D28291275,Bailey and Sons,Derek Schroeder,james84@example.com,2021-05-10 00:00:00,2022-02-04 00:00:00,2021-01-01 00:00:00,2038-11-27 00:00:00,CNG,Renewable Natural Gas,British Columbia,Landfill Gas,Victoria,British Columbia,Canada,14576,,Adjacent,Pipeline,,
Approved,C-BCLCF,341.2,28.5,D28291202,Bailey PLC,Sharon Davis,lchavez@example.com,2022-08-31 00:00:00,2023-03-29 00:00:00,2023-11-01 00:00:00,2038-09-17 00:00:00,Hydrogen,Water and Electricity,BC,Electrolysis,Prince George,British Columbia,Canada,955,,Adjacent,"Marine, Marine-international",,
Approved,C-BCLCF,185.2,17.63,D28291151,"Bailey, Lopez and Griffin",Sarah Schmitt,sheri71@example.org,2025-02-25 00:00:00,2025-08-28 00:00:00,2025-08-26 00:00:00,2036-05-07 00:00:00,Renewable naphtha,Canola,Alberta,Coprocessing in DHT,Vancouver,British Columbia,Canada,18388676,Litres,Truck,Rail,,
Approved,BCLCF,552.1,11.73,D28291239,"Bailey, Stephenson and Rojas",Ian White,anna04@example.com,2025-01-14 00:00:00,2025-04-03 00:00:00,2025-02-01 00:00:00,2036-08-03 00:00:00,Ethanol,Sorghum,US Central,86.8% CCS,St. Louis,Missouri,United States of America,243494165,Litres,Truck,Rail,,
Approved,C-BCLCF,265.6,-32.86,D28291267,Bailey-Griffin,Stephen Harrison,pagecurtis@example.net,2022-12-16 00:00:00,2024-06-19 00:00:00,2022-12-16 00:00:00,2037-07-28 00:00:00,LNG,Renewable Natural Gas,BC,Manure/organics (FOGs) in AD,Kelowna,British Columbia,Canada,64171,,Marine-international,Marine-international,,
Approved,BCLCF,133.1,32.97,D28291282,Baker and Sons,Victor Cooper,timothykennedy@example.net,2024-01-19 00:00:00,2024-09-09 00:00:00,2024-01-29 00:00:00,2037-04-08 00:00:00,Ethanol,Corn,US Central,,Baton Rouge,Louisiana,United States of America,432330217,,Marine-international,Rail,,
Approved,C-BCLCF,368.1,31.45,D28291397,Baker and Sons,Bruce Matthews,rreed@example.org,2020-03-26 00:00:00,2020-03-30 00:00:00,2019-01-01 00:00:00,2039-04-02 00:00:00,Ethanol,Wheat,Canada West,No CCS,Moose Jaw,Saskatchewan,Canada,130021853,,"Marine-international, Rail",Rail,,
Approved,BCLCF,451.1,58.05,D28291526,Baker Group,Denise Smith,pchurch@example.org,2019-06-06 00:00:00,2019-07-02 00:00:00,2019-06-06 00:00:00,2039-11-12 00:00:00,Ethanol,Corn,US Central,,St. Paul,Minnesota,United States of America,220319695,,Marine-international,Rail,,
Approved,C-BCLCF,595.1,8.13,D28291475,Baker Ltd,Maria Miller,glevine@example.net,2022-10-19 00:00:00,2023-05-02 00:00:00,2023-05-15 00:00:00,2038-07-20 00:00:00,HDRD,Yellow Grease (UCO),British Columbia,Naphtha coproduct,Prince George,British Columbia,Canada,184000290,,Rail,Marine-international,,
Approved,C-BCLCF,155.1,-6.41,D28291298,"Baker, Ortega and Wallace",Trevor Church,phall@example.org,2022-03-08 00:00:00,2022-07-14 00:00:00,2022-03-08 00:00:00,2038-10-27 00:00:00,Biodiesel,Soy,US Central,,Vancouver,British Columbia,Canada,10995110,,Rail,Marine-international,,
Approved,C-BCLCF,560.1,0.57,D28291371,Baker-Lee,Erin Martin,xcisneros@example.net,2022-09-15 00:00:00,2024-07-31 00:00:00,2024-01-01 00:00:00,2037-06-25 00:00:00,HDRD,Canola,Saskatchewan,,Victoria,British Columbia,Canada,183063316,,Marine-international,Marine-international,,
Approved,BCLCF,497.2,20.48,D28291114,"Baldwin, Powell and Larson",Bradley Allen,marierussell@example.net,2025-10-21 00:00:00,2025-12-03 00:00:00,2025-10-27 00:00:00,2036-03-31 00:00:00,HDRD,Yellow Grease (UCO),Western Europe,,Houston,Texas,USA,2133498384,Litres,"Marine, Truck",Marine,,
Approved,BCLCF,107.1,29.11,D28291473,Ballard-Santos,Benjamin Dixon,smithashley@example.net,2023-01-12 00:00:00,2023-11-14 00:00:00,2023-01-01 00:00:00,2038-05-28 00:00:00,HDRD,Soy,Argentina,,St. Paul,Minnesota,United States of America,433733256,,Marine,Marine,,
Approved,C-BCLCF,480.1,13.16,D28291090,Banks and Sons,Natalie Perez,emahoney@example.com,2025-05-27 00:00:00,2025-12-03 00:00:00,2025-05-27 00:00:00,2036-03-07 00:00:00,Propane,Canola,Manitoba,Co-Processing in FCC,Victoria,British Columbia,Canada,233622168,Litres,Rail,Truck,,
Approved,C-BCLCF,111.2,15.89,D28291192,"Banks, Bell and Odonnell",Austin Shepherd,butlerwilliam@example.net,2022-10-19 00:00:00,2024-06-10 00:00:00,2024-07-01 00:00:00,2037-08-28 00:00:00,Renewable naphtha,Tallow,Ontario,,Kelowna,British Columbia,Canada,176954132,,Rail,Marine-international,,
Approved,BCLCF,464.1,55.62,D28291522,"Banks, Brady and Roberson",Lee Thomas,yhernandez@example.net,2016-11-18 00:00:00,2016-12-19 00:00:00,2016-11-18 00:00:00,2039-11-08 00:00:00,Ethanol,Corn,US Central,,St. Paul,Minnesota,United States of America,183904109,,Marine-international,Rail,,
Approved,BCLCF,101.3,45.86,D28291330,Banks-Miller,Richard West,christopher01@example.net,2023-04-13 00:00:00,2023-11-09 00:00:00,2023-03-13 00:00:00,2038-05-20 00:00:00,Ethanol,Corn,US Central,,Des Moines,Iowa,United States of America,536592514,,Marine-international,Rail,,
Approved,BCLCF,695.1,26.82,D28291153,Barker Ltd,Jared Bennett,smayer@example.net,2024-05-15 00:00:00,2024-09-09 00:00:00,2024-05-15 00:00:00,2037-04-05 00:00:00,Renewable naphtha,Soy,US Central,Soybean Oil,Baton Rouge,Louisiana,United States of America,433813507,,Rail,Rail,,
Approved,BCLCF,183.3,52.86,D28291433,"Barker, Foster and Pace",Carol Burton,lopezpaul@example.net,2014-11-18 00:00:00,2014-11-28 00:00:00,2014-11-18 00:00:00,2039-06-25 00:00:00,Ethanol,Corn,US Central,,Kansas City,Missouri,United States of America,190673208,,Marine-international,Rail,,
Approved,BCLCF,536.3,25.43,D28291213,"Barker, Mitchell and Adams",Jason Smith,loriparks@example.com,2025-03-25 00:00:00,2025-06-06 00:00:00,2025-04-10 00:00:00,2036-07-08 00:00:00,HDRD,Tallow,Mexico,,New Orleans,Louisiana,USA,1189136025,Litres,"Rail, Truck",Rail,,
Approved,BCLCF,265.4,22.91,D28291387,Barker-Howard,Lori Roberts,jodi16@example.net,2024-03-26 00:00:00,2024-07-11 00:00:00,2024-03-26 00:00:00,2037-07-22 00:00:00,HDRD,Soy,US Central,,Houston,Texas,United States of America,467825969,,Rail,Marine,,
Approved,BCLCF,454.1,13.28,D28291396,"Barnes, Henderson and Scott",Michael Manning,michaelliu@example.net,2015-10-28 00:00:00,2016-01-26 00:00:00,2015-08-20 00:00:00,2039-10-20 00:00:00,Biodiesel,Corn,United States,Corn Oil,St. Louis,Missouri,United States of America,408918050,,Rail,Marine-international,,
Approved,BCLCF,548.2,28.22,D28291265,Barnett PLC,Elizabeth Barrett,ewingandrew@example.com,2024-10-07 00:00:00,2025-01-15 00:00:00,2024-10-27 00:00:00,2036-10-15 00:00:00,HDRD,Tallow,US Central,,Houston,Texas,United States of America,1919313711,,Rail,Marine,,
Approved,C-BCLCF,374.1,25.22,D28291389,"Barnett, Castro and Kelly",Amanda Campbell,ybrown@example.com,2020-03-26 00:00:00,2020-03-30 00:00:00,2019-01-01 00:00:00,2039-03-25 00:00:00,Ethanol,Corn,Manitoba,CCS,Regina,Saskatchewan,Canada,134268981,,Rail,Marine-international,,
Approved,BCLCF,269.3,49.33,D28291411,Barr LLC,Courtney Martinez,emily82@example.com,2018-03-27 00:00:00,2018-05-10 00:00:00,2018-03-27 00:00:00,2039-05-11 00:00:00,Ethanol,Corn,US Central,Raw Starch Hydrolysis process,Minneapolis,Minnesota,United States of America,58551296,,Marine-international,Rail,,
Approved,BCLCF,179.2,-2.14,D28291262,"Barron, Allison and Wells",Daniel Clark,cynthiahood@example.net,2023-12-12 00:00:00,2024-04-17 00:00:00,2024-01-01 00:00:00,2037-11-21 00:00:00,Biodiesel,Canola,Canada West,,Fargo,North Dakota,United States of America,305730956,,Marine-international,Rail,,
Approved,C-BCLCF,387.2,17.04,D28291281,Barry LLC,Keith Jenkins,pwalters@example.org,2022-12-16 00:00:00,2024-01-25 00:00:00,2022-12-16 00:00:00,2038-03-12 00:00:00,LNG,Renewable Natural Gas,BC,Landfill Gas,Vancouver,British Columbia,Canada,54288,,Adjacent,Marine-international,,
Approved,BCLCF,460.1,52.82,D28291529,"Barton, Jacobson and Jones",Samantha Moran,michaelcampbell@example.com,2013-10-23 00:00:00,2013-11-08 00:00:00,2013-10-23 00:00:00,2039-11-15 00:00:00,Ethanol,Corn,US Central,,Des Moines,Iowa,United States of America,204819392,,Marine-international,Rail,,
Approved,BCLCF,171.1,9.31,D28291253,"Barton, Kent and Wood",Christopher Shaw,wochoa@example.net,2024-03-18 00:00:00,2024-05-21 00:00:00,2024-03-19 00:00:00,2037-10-21 00:00:00,Biodiesel,Yellow Grease (UCO),US Central,,Austin,Texas,United States of America,166759896,,Adjacent,Rail,,
Approved,BCLCF,432.1,19.36,D28291499,"Barton, Simpson and Lee",Joyce Mcclure,odavis@example.com,2017-08-15 00:00:00,2019-01-10 00:00:00,2018-01-01 00:00:00,2039-11-19 00:00:00,HDRD,Yellow Grease (UCO),"Australia, New Zealand, Canada",,Tuas,NaN,Singapore,1035530138,,Marine,"Marine, Marine-international",,
Approved,C-BCLCF,595.2,25.26,D28291493,Bates Ltd,Charles Riley,kaitlynacosta@example.com,2022-10-19 00:00:00,2023-05-02 00:00:00,2023-05-15 00:00:00,2038-08-07 00:00:00,HDRD,Soy,Ontario,Co products used to produce H2,Vancouver,British Columbia,Canada,163575517,,Rail,Marine-international,,
Approved,C-BCLCF,248.1,9.36,D28291392,"Beasley, Hill and Garner",Julie Moore,tonya53@example.org,2022-10-19 00:00:00,2024-06-10 00:00:00,2024-07-01 00:00:00,2037-08-02 00:00:00,HDRD,Yellow Grease (UCO),Saskatchewan,Naphtha coproduct,Victoria,British Columbia,Canada,188634653,,Rail,Marine-international,,
Approved,BCLCF,408.3,48.78,D28291522,Beasley-Ford,Daniel Garcia,connerdaniel@example.org,2013-01-17 00:00:00,2013-03-28 00:00:00,2013-03-28 00:00:00,2040-02-07 00:00:00,HDRD,Palm Oil,Malaysia / Indonesia,No peatland,Tuas,NaN,Singapore,1041349678,,"Marine, Marine-international","Marine, Marine-international",,
Approved,C-BCLCF,800.1,15.37,D28291249,Beck and Sons,Theresa Espinoza,jennifer35@example.com,2023-05-18 00:00:00,2023-06-14 00:00:00,2023-05-15 00:00:00,2038-06-15 00:00:00,Renewable naphtha,Canola,Alberta,,Kelowna,British Columbia,Canada,167246394,,Rail,Marine-international,,
Approved,BCLCF,392.2,25.62,D28291235,Beck-Gutierrez,Leslie Hughes,lauren32@example.org,2023-05-08 00:00:00,2024-01-24 00:00:00,2023-05-08 00:00:00,2038-03-17 00:00:00,Renewable naphtha,Tallow,US Central,,Baton Rouge,Louisiana,United States of America,427170997,,Rail,Rail,,
Approved,BCLCF,220.3,19.67,D28291126,Bell Group,Rebecca Compton,wileylinda@example.org,2025-10-21 00:00:00,2025-12-03 00:00:00,2025-10-27 00:00:00,2036-04-12 00:00:00,Renewable naphtha,Yellow Grease (UCO),US Central,,Dallas,Texas,USA,2040951163,Litres,"Rail, Truck",Marine,,
Approved,C-BCLCF,775.1,37.59,D28291437,Bell Inc,Kristen Smith,stacy33@example.com,2017-04-26 00:00:00,2017-05-16 00:00:00,2017-04-26 00:00:00,2039-07-06 00:00:00,Ethanol,Wheat,Alberta,,Edmonton,Alberta,Canada,35503900,,Marine-international,Marine-international,,
Approved,C-BCLCF,517.3,0.16,D28291370,Bell Ltd,Adam Maynard,dmccoy@example.net,2015-05-26 00:00:00,2015-08-17 00:00:00,2015-05-26 00:00:00,2039-06-04 00:00:00,Biodiesel,Yellow Grease (UCO),Ontario,,Toronto,Ontario,Canada,60812956,,Marine-international,Rail,,
Approved,BCLCF,732.1,14.82,D28291273,"Bell, Roberts and Torres",Katherine Lester,webbjessica@example.net,2024-02-09 00:00:00,2024-12-16 00:00:00,2024-02-12 00:00:00,2037-01-10 00:00:00,Ethanol,Corn,US Central,69% CCS,Des Moines,Iowa,United States of America,243705279,,Marine-international,Rail,,
Approved,C-BCLCF,110.3,17.22,D28291196,"Bennett, Juarez and Mcmahon",Maurice Moreno,zrobinson@example.com,2022-10-19 00:00:00,2024-06-10 00:00:00,2024-07-01 00:00:00,2037-09-02 00:00:00,Renewable naphtha,Soy,US Central,,Kelowna,British Columbia,Canada,179861303,,Rail,Marine-international,,
Approved,BCLCF,197.4,18.05,D28291323,Benson-Johnson,Scott Aguirre,boydmelissa@example.org,2021-03-12 00:00:00,2021-10-18 00:00:00,2021-03-12 00:00:00,2039-01-04 00:00:00,Biodiesel,Yellow Grease (UCO),US Central,,Cedar Rapids,Iowa,United States of America,115126810,,Marine-international,Rail,,
Approved,BCLCF,225.3,15.15,D28291288,"Benton, Patton and Cooper",Mary Santiago,connorjones@example.net,2024-02-07 00:00:00,2024-04-09 00:00:00,2024-03-01 00:00:00,2036-09-21 00:00:00,Alternative jet fuel,Yellow Grease (UCO),US West,,St. Paul,Minnesota,United States of America,931456171,Litres,Rail,Rail,,
Approved,C-BCLCF,349.2,1.2,D28291251,Berg-Richardson,Sandra Case,williamandrews@example.com,2023-10-16 00:00:00,2025-02-12 00:00:00,2023-10-16 00:00:00,2036-08-15 00:00:00,HDRD,Yellow Grease (UCO),Alberta,Co-Processing in FCC,Victoria,British Columbia,Canada,207129302,Litres,"Marine, Truck",Truck,,
Approved,C-BCLCF,402.3,17,D28291199,"Berry, Cole and Bauer",Bruce Evans,rachelholmes@example.com,2024-06-27 00:00:00,2024-08-22 00:00:00,2024-07-01 00:00:00,2037-04-23 00:00:00,Hydrogen,Water and Electricity,British Columbia,Units for name plate production capacity are kg_Hydrogen/day,Victoria,British Columbia,Canada,1522,,Adjacent,Adjacent,,
Approved,C-BCLCF,574.2,27.13,D28291198,Bird Inc,Carol Suarez,frederick09@example.net,2025-05-09 00:00:00,2025-07-29 00:00:00,2025-05-09 00:00:00,2036-06-23 00:00:00,Hydrogen,Water,Quebec,Other - See note,Montreal,Quebec,Canada,15077,Kilograms,Adjacent,Truck,,
Approved,C-BCLCF,485.2,65.09,D28291287,Bishop-Garcia,Russell Adams,garymills@example.org,2021-06-30 00:00:00,2021-12-17 00:00:00,2021-06-10 00:00:00,2038-12-08 00:00:00,LNG,Fossil-based Natural Gas,British Columbia,,Prince George,British Columbia,Canada,13275626,,Pipeline,Marine-international,,
Approved,C-BCLCF,180.4,65.34,D28291277,"Black, White and Sanchez",Christopher Dominguez,markhill@example.org,2023-10-27 00:00:00,2024-04-17 00:00:00,2024-01-01 00:00:00,2037-11-20 00:00:00,LNG,Fossil-based Natural Gas,British Columbia,,Victoria,British Columbia,Canada,8226,,Pipeline,Marine-international,,
Approved,C-BCLCF,142.1,10.05,D28291419,Blackburn LLC,Lori Mercado,schultzkristin@example.org,2022-10-19 00:00:00,2024-06-10 00:00:00,2024-07-01 00:00:00,2037-09-18 00:00:00,HDRD,Yellow Grease (UCO),US Central,Naphtha coproduct,Kelowna,British Columbia,Canada,182761906,,Rail,Marine-international,,
Approved,C-BCLCF,594.1,8.28,D28291484,Blair-Hamilton,James Brown,stephaniecompton@example.net,2022-10-19 00:00:00,2023-05-02 00:00:00,2023-05-15 00:00:00,2038-07-29 00:00:00,HDRD,Yellow Grease (UCO),Alberta,Co products used to produce H2,Vancouver,British Columbia,Canada,174356845,,Rail,Marine-international,,
